,title,originallink,link,description,pubDate
36,"강득구 의원, 미성년자 무면허 교통사고 급증... 교통안전 교육 대책 필요",http://www.lawissue.co.kr/view.php?ud=202110071838397672b3279dfb36_12,http://www.lawissue.co.kr/view.php?ud=202110071838397672b3279dfb36_12,"강득구 의원은 “최근 무면허 미성년자들의 위험한 질주가 계속되고 있다. 특히, 렌터카 업체에 다른 사람의 명의를 도용해 비대면 방식으로 차량을 빌린 후 사고를 내는 경우가 빈번하게 발생하고 있다.”고... ","Thu, 07 Oct 2021 18:40:00 +0900"
37,경기·인천 '청소년 무면허 운전 교통사고' 급증… 발생율 서울의 2배,http://www.kyeongin.com/main/view.php?key=20211007010001048,http://www.kyeongin.com/main/view.php?key=20211007010001048,국회 교육위원회 소속 더불어민주당 강득구 의원이 도로교통공단에 제출받은 '미성년자 무면허 교통사고... 이 같은 급증세는 코로나19 등의 여파로 렌터카 업체가 비대면 방식으로 영업을 진행하면서 청소년들이... ,"Thu, 07 Oct 2021 17:10:00 +0900"
38,무면허도 미성년자도 카셰어링 OK? 대책없나,http://www.knnews.co.kr/news/articleView.php?idxno=1360926,http://www.knnews.co.kr/news/articleView.php?idxno=1360926,"도로교통공단 울산·경남지부에 따르면, 최근 7년간 경남 도내 청소년 무면허 렌터카 사고는 총 24건 발생했다. 연도별로는 2014년 5건 이후 2015·2016년 각 1건으로 줄었다가 2017년 다시 5건으로 급증했다. 이어 2018년... ","Tue, 05 Oct 2021 21:42:00 +0900"
39,미성년자 무면허 교통사고 `위험수위',http://www.cctimes.kr/news/articleView.html?idxno=675855,http://www.cctimes.kr/news/articleView.html?idxno=675855,충북에서 최근 3년간 발생한 미성년자 무면허 교통사고가 30여 건에 이르는 것으로 집계됐다. 7일 국회... 강 의원은 최근 렌터카 업체에 다른 사람의 명의를 도용해 비대면 방식으로 차량을 빌린 후 사고를 내는... ,"Thu, 07 Oct 2021 20:39:00 +0900"
40,[2021 국감] 미성년자 무면허 교통사고 2년 사이 34% 급증,http://www.bizwnews.com/news/articleView.html?idxno=28131,http://www.bizwnews.com/news/articleView.html?idxno=28131,"강득구 의원은 최근 무면허 미성년자들의 위험한 질주가 계속되고 있다. 특히, 렌터카 업체에 다른 사람의 명의를 도용해 비대면 방식으로 차량을 빌린 후 사고를 내는 경우가 빈번하게 발생하고 있다고... ","Thu, 07 Oct 2021 15:53:00 +0900"
41,"[2021국감]강득구, 미성년자 무면허 교통사고 2년 새 34% 급증",http://www.iminju.net/news/articleView.html?idxno=75609,http://www.iminju.net/news/articleView.html?idxno=75609,"지난 3년 미성년자 무면허 사고로 2140건의 교통사고가 일어나 3121명이 부상, 63명이 숨졌다. 무면허 사고... 강 의원은 렌터카 업체에 다른 사람의 명의를 도용해 비대면 방식으로 차량을 빌린 후 사고를 내는... ","Thu, 07 Oct 2021 14:03:00 +0900"
42,미성년자 무면허 교통사고 2년새 34% '껑충',http://www.jeonmae.co.kr/news/articleView.html?idxno=857209,http://www.jeonmae.co.kr/news/articleView.html?idxno=857209,이에 강 의원은 최근 무면허 미성년자들의 위험한 질주가 계속되고 있다. 특히 렌터카 업체에 다른 사람의 명의를 도용해 비대면 방식으로 차량을 빌린 후 사고를 내는 경우가 빈번하게 발생하고 있다며... ,"Thu, 07 Oct 2021 16:09:00 +0900"
43,[기고] 공유경제 위협하는 청소년 무면허 운전,https://www.khan.co.kr/opinion/contribution/article/202110010300005,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=110&oid=032&aid=0003101072,"카셰어링을 포함한 렌터카는 최근 3년간 무면허 교통사고가 연평균 380건이 발생했고, 이는 매년 4.4% 증가하고 있다. 이 중 20세 이하 운전자로 인한 사고 비율은 38%, 사망자는 60%를 각각 차지한다. 게다가 이들의 음주운전... ","Fri, 01 Oct 2021 03:01:00 +0900"
44,"미성년자 무면허 교통사고, 2년 새 34% 늘어…교통안전 교육 강화해야",http://www.pinpointnews.co.kr/view.php?ud=2021100713152229846cee81a9c1_45,http://www.pinpointnews.co.kr/view.php?ud=2021100713152229846cee81a9c1_45,이에 강 의원은 “최근 무면허 미성년자들의 위험한 질주가 계속되고 있다. 특히 렌터카 업체에 다른 사람의 명의를 도용해 비대면 방식으로 차량을 빌린 후 사고를 내는 경우가 빈번하게 발생하고 있다”고... ,"Thu, 07 Oct 2021 13:17:00 +0900"
45,‘미성년자 렌트 가능’ 불법광고 여전…7년간 사고 582건ㆍ사망 14명 발생,http://www.mdtoday.co.kr/mdtoday/index.html?no=431288,http://www.mdtoday.co.kr/mdtoday/index.html?no=431288,"국회 정무위원회 소속 더불어민주당 윤관석 의원이 도로교통공단에서 제출받은 ‘최근 7년간 청소년 무면허 렌터카 사고발생현황’ 자료를 분석한 결과 2014년부터 지난해까지 582건의 사고가 발생했으며, 같은... ","Mon, 04 Oct 2021 10:06:00 +0900"
46,가을철 나들이 '렌터카 교통사고' 주의보…음주·무면허 특히 취약,https://www.news1.kr/articles/?4442627,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=421&aid=0005620068,월별로는 전체 무면허 렌터카 사고 사망자의 40%가 가을철인 9~11월에 숨졌다. 교통사고 100건당 사망자 수를 나타내는 치사율로 살펴봐도 가을철이 2.2로 전체 평균인 1.3보다 높았다. 음주운전으로 인한 렌터카... ,"Sat, 25 Sep 2021 08:00:00 +0900"
47,"[2021 국감]강득구 미성년자 무면허 교통사고, 지난해 833건",https://www.asiatoday.co.kr/view.php?key=20211007010003560,https://www.asiatoday.co.kr/view.php?key=20211007010003560,"이 교통사고로 부상자는 3121명, 사망자는 63명이 나왔다.무면허 사고 가해자를 연령별로 보면 17세가... 강 의원은 “다른 사람의 명의를 도용해 렌터카 업체에서 비대면 방식으로 차량을 빌려 사고를 내는 등... ","Thu, 07 Oct 2021 11:30:00 +0900"
48,[사설] 무면허 미성년 공유차 이용 단속 강화해야,http://www.knnews.co.kr/news/articleView.php?idxno=1360940,http://www.knnews.co.kr/news/articleView.php?idxno=1360940,청소년들의 무면허 운전 교통사고가 증가하고 있는 현실에서 ‘공유차(카셰어링)’계정 아이디를 불법으로... 도로교통공단 울산·경남지부가 집계한 최근 7년간 도내 청소년에 의한 렌터카 사고는 24건이지만 2017년 이후... ,"Tue, 05 Oct 2021 21:42:00 +0900"
49,10대 무면허 운전 여전…시민 안전 '위협',http://www.gwangnam.co.kr/read.php3?aid=1633942098398446023,http://www.gwangnam.co.kr/read.php3?aid=1633942098398446023,"김정호 호남대 경찰행정학과 교수는 “최근 차를 쉽게 빌릴 수 있는 환경으로 특히 렌터카 관련 10대 무면허 운전 사고가 많이 발생하는데 렌터카 업체에 한해서라도 신분증 확인, 인증체계를 강화해야 한다”... ","Mon, 11 Oct 2021 17:52:00 +0900"
50,평소보다 교통사고 많은 추석...슬기로운 보험 대처법은?,https://hankookilbo.com/News/Read/A2021091716150000565?did=NA,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=469&aid=0000630491,"음주운전, 무면허 운전으로 인한 사고 피해자는 평상시와 비교해 각각 30.9%, 62.3% 증가했다. 중앙선 침범... 연휴 기간 동안에만 렌터카를 빌려 고향을 찾거나 여행을 떠날 경우엔 '원데이 보험'이 유리하다. 하루 단위로... ","Sat, 18 Sep 2021 09:00:00 +0900"
51,"[경기교육소식] 경기교육청, 국감서 ‘경기도형 도제실습’ 지적 등",https://www.pressian.com/pages/articles/2021100718232203544?utm_source=naver&utm_medium=search,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=002&aid=0002213391,"꾸준히 무면허 운전 사고가 증가하는 추세를 보이고 있다고 말했다. 이어 다른 사람의 명의를 도용해 렌터카 업체에서 비대면 방식으로 차량을 빌린 뒤 사고가 나는 사례가 빈번하게 발생하고 있는 만큼, 렌터카... ","Thu, 07 Oct 2021 19:29:00 +0900"
52,"[국감 현장] 경인 여야 의원들, 연휴도 잊은 피감기관 질타",http://www.kyeongin.com/main/view.php?key=20211004010000281,http://www.kyeongin.com/main/view.php?key=20211004010000281,윤관석 청소년 무면허 렌터카 사고… 7년간 582건임오경 올 한해 국외유출 문화재 20만4693점 달해송석준 내년부터 4년간 공공임대 66% 10평대 공급김선교 간척농지 태양광설치만 허가 염해보상 전무경기... ,"Mon, 04 Oct 2021 21:10:00 +0900"
53,청소년 무면허 렌터카 사고…7년간 582건·사망 14명·부상 1010명 달해,http://www.viva100.com/main/view.php?key=20211004010000514,http://www.viva100.com/main/view.php?key=20211004010000514,청소년 무면허 렌터카 사고…7년간 582건·사망 14명·부상 1010명 달해 10대 청소년 무면허 렌터가 교통사고가 매년 증가하고 있는 것으로 나타났다. 더불어민주당 국회 정무위원회 소속 윤관석 의원(인천남동을)... ,"Mon, 04 Oct 2021 14:02:00 +0900"
54,[사건·사고 25시] 조건만남 미끼 퍽치기·보이스피싱 조직원...경찰 비웃는 ...,http://www.ajunews.com/view/20210918172213645,http://www.ajunews.com/view/20210918172213645,"놀이터서 당당히 성관계...금은방 털고 렌터카로 경찰 따돌리기도 김정래 기자 kjl@ajunews.com 중학생 범죄가... A군은 무면허 운전한 것으로 드러났으며, 3명 중 2명이 차량을 훔쳤고 다른 1명은 절도 행위에는 가담하지 않은... ","Sun, 19 Sep 2021 08:02:00 +0900"
55,충북 렌터카 교통사고 증가세…5년간 사망 18명 부상 2586명,https://www.news1.kr/articles/?4411547,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005557467,"무면허로 렌터카를 운전하다 사고를 낸 건수는 58건(3.9%)으로, 이로 인해 1명이 숨지고 107명이 다쳤다. 공단 관계자는 충북지역의 렌터카 교통사고는 매년 10.4%씩 증가하고 있다며 도내 전체... ","Mon, 23 Aug 2021 16:07:00 +0900"
56,충북 렌터카 교통사고 5년새 50% 이상 증가,http://www.cctimes.kr/news/articleView.html?idxno=670314,http://www.cctimes.kr/news/articleView.html?idxno=670314,"무면허로 렌터카를 운전하다 사고를 낸 건수는 58건(3.9%)으로, 이로 인해 1명이 숨지고 107명이 다쳤다. 공단 관계자는 충북지역의 렌터카 교통사고는 매년 10.4%씩 증가하고 있다며 도내 전체... ","Mon, 23 Aug 2021 20:13:00 +0900"
57,무면허 렌터카 사고… 페북 트위터 불법광고물 원인,https://www.newsclaim.co.kr/news/articleView.html?idxno=3000111,https://www.newsclaim.co.kr/news/articleView.html?idxno=3000111,이처럼 불법광고가 청소년 무면허 렌터카 사고 발생을 부추기고 있다. 4일 국회 정무위원회 소속 윤관석 의원(더불어민주당 사무총장·인천남동을)이 도로교통공단에서 제출받은 '최근 7년간 청소년 무면허... ,"Mon, 04 Oct 2021 13:13:00 +0900"
58,10대 무면허 운전 가장 큰 문제는 '이것',http://www.segye.com/content/html/2021/08/03/20210803515742.html?OutUrl=naver,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003606772,최근에는 렌터카를 무면허로 운전을 하다 사고가 나는 10대들도 늘어나고 있다. 과거 10대들이 부모님 등 가족 소유 차를 타고 무면허 운전을 하던 것과 다른 모습이다. 한국교통안전공단에 따르면 지난 2015~2019년... ,"Wed, 04 Aug 2021 07:04:00 +0900"
59,훔친 차에 경찰 매달고 '지그재그 질주'…막가는 무면허 10대들,https://www.news1.kr/articles/?4392004,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005519025,최근에는 렌터카를 무면허로 운전을 하다 사고가 나는 10대들도 늘어나고 있다. 과거 10대들이 부모님 등 가족 소유 차를 타고 무면허 운전을 하던 것과 다른 모습이다. 한국교통안전공단에 따르면 지난 2015~2019년... ,"Tue, 03 Aug 2021 10:42:00 +0900"
60,"'무면허 운전' 간 큰 10대들…렌터카 훔치고, 명의 도용하고",https://view.asiae.co.kr/article/2021050821433209135,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004899150,2015∼2019년 발생한 10대 무면허 교통사고는 총 3301건으로 집계됐다. 이로 인해 91명이 사망했고 4849명이 부상을 입었다. 같은 기간 10대 무면허 렌터카 교통사고는 총 405건으로 이 중 8명이 목숨을 잃었고 722명이 다쳤다.,"Sat, 08 May 2021 21:43:00 +0900"
61,대낮 도심 질주한 10대…무면허 렌터카 사고 언제까지,http://www.kukinews.com/newsView/kuk202103100207,http://www.kukinews.com/newsView/kuk202103100207,"10대의 무면허 렌터카 사고는 최근 급증하는 추세다. 지난해 11월 한국교통안전공단에 따르면 렌터카 무면허 교통사고는 2015년 274건, 2016년 237건, 2017년 353건, 2018년 366건, 2019년 375건으로 해마다 늘고 있다. 이 가운데... ","Thu, 11 Mar 2021 06:31:00 +0900"
62,인천 무면허 10대들 렌터카 빌려 '위험한 질주',http://www.kyeonggi.com/news/articleView.html?idxno=2360738,http://www.kyeonggi.com/news/articleView.html?idxno=2360738,"특히 인천지역 청소년 무면허 렌터카사고는 2018년 4건, 2019년 8건, 2020년 12건으로 해마다 늘고 있는 실정이다. 이윤호 고려사이버대 경찰학과 석좌교수는 생명과 직결하는 범죄인 만큼 지역 경찰과 렌터카업계 등이... ","Thu, 29 Apr 2021 18:56:00 +0900"
63,"'무면허 렌터카' 10대, 뺑소니 사고 후 또 운전대 잡았다",https://hankookilbo.com/News/Read/A2021022617340002529?did=NA,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=469&aid=0000584302,"도로교통공단 교통사고분석시스템(TAAS)에 따르면 2015년부터 2019년까지 5년 동안 10대 무면허 렌터카 교통사고는 405건 발생했고, 이로 인해 사망자 8명과 부상자 722명이 나왔다. 이 기간 사건도 매년 13%씩 증가해, 최근엔... ","Mon, 01 Mar 2021 12:00:00 +0900"
64,미성년 무면허 교통사고 2년 새 34% 급증,http://www.newshankuk.com/news/content.asp?news_idx=202110081845110103,http://www.newshankuk.com/news/content.asp?news_idx=202110081845110103,"자료사진, 전남 목포경찰서는 2020년 9월 13일 오후 11시 42분께 목포시 상동 한 아파트 앞 도로에서 발생한 고교생 무면허 렌터카·승용차 충돌 사고와 관련, 사고 경위 등을 수사하고 있다고 15일 밝혔다. 이 사고로... ","Fri, 08 Oct 2021 19:04:00 +0900"
65,"공주경찰, 무면허로 렌터카 운전하다 사고 낸 중학생 입건",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202102102039001&code=940202,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=032&aid=0003058884,충남 공주경찰서는 10일 렌터카로 무면허 운전을 하다 사고를 낸 A군(15)을 교통사고 처리 특례법 위반 등의 혐의로 불구속 입건해 조사중이라고 밝혔다. A군은 지난 8일 무면허로 승용차를 세종시에서 공주시까지 약 40... ,"Wed, 10 Feb 2021 20:39:00 +0900"
66,렌터카 '쑥쑥' 크는데 안전성 '빨간불'…사고 건수 5년새 52.4% '급증',https://www.news1.kr/articles/?4284965,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=421&aid=0005310427,특히 운전 미숙이나 무면허 렌터카 사고가 이어지고 있어 본인확인 절차를 강화해야 한다는 목소리가 커지고 있다. ◇렌터카 시장 날로 커지는데…안전성은 '뒷걸음질' 25일 한국소비자원의 '안전성 취약시장... ,"Sun, 25 Apr 2021 07:10:00 +0900"
67,멈추지 않는 질주...'10대 무면허 교통사고',"http://www.edaily.co.kr/news/newspath.asp?newsid=01108646629015464&snapkey=59342,청소년,운전,과속,교통사고,면허,#소년법,도로교통법,안전운전,무면허,교통안전,렌터카,불법대여",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=018&aid=0004899139,사진=연합뉴스) 렌터카 무면허 교통사고 4명 중 1명은 10대 신종 코로나바이러스 감염증(코로나19) 사태 이후 비대면 서비스가 확산되면서 렌터카를 통한 교통사고도 늘고 있다. 비대면으로 이뤄지는 차량 공유... ,"Mon, 12 Apr 2021 00:33:00 +0900"
68,수능 이후 무면허 교통사고 방지...렌터카 불법대여 특별점검,https://www.news1.kr/articles/?4136784,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=421&aid=0005025366,정부가 오는 3일 대학수학능력시험(수능) 이후 고등학생들의 무면허 렌터카 사고를 방지하기 위해 운전자격 확인을 강화한다. 국토교통부는 이달부터 내년 2월까지 100일간 무면허 렌터카 사고 근절을 위한 안전관리... ,"Wed, 02 Dec 2020 11:00:00 +0900"
69,10대 무면허 사고 막자…수능 후 렌터카 무면허 대여 특별점검,http://yna.kr/AKR20201202030100530?did=1195m,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=001&aid=0012054027,"국토부에 따르면 올해 7월 기준 렌터카 등록 대수는 100만 대를 넘어섰으며 이와 함께 무면허 렌터카 교통사고도 늘고 있다. 무면허 사고 건수는 2017년 353건에서 2018년 366건, 지난해 375건으로 증가했다. 특히 미성년자... ","Wed, 02 Dec 2020 11:00:00 +0900"
70,청소년 무면허 렌터카 사고 막는다! 수능 이후 100일간 특별점검 [모터그램],http://www.sisunnews.co.kr/news/articleView.html?idxno=134239,http://www.sisunnews.co.kr/news/articleView.html?idxno=134239,"렌터카의 증가와 함께 무면허 렌터카 교통사고도 증가하고 있으며, 특히 미성년자의 렌터카 대여 및 사고 사례도 지속 발생하고 있다.  이에 보다 편리하고 안전하게 렌터카를 대여, 이용할 수 있도록 △학생안전... ","Wed, 02 Dec 2020 19:17:00 +0900"
71,'무면허 렌터카' 사고방지···수능 끝나고 특별점검,http://www.ktv.go.kr/content/view?content_id=614390,http://www.ktv.go.kr/content/view?content_id=614390,무면허 렌터카 교통사고는 매년 350여 건을 넘나들고 있는 가운데 이처럼 10대 미성년자의 사고가 눈에 띄게 증가하고 있습니다. 지난 4년간 무려 69%나 늘었습니다. 이에 따라 정부는 렌터카 업체의 안전관리를 강화하는... ,"Wed, 02 Dec 2020 14:00:00 +0900"
72,"수능 이후 무면허 렌터카 특별점검, 미성년자 사고 방지",https://www.etoday.co.kr/news/view/1969430,https://www.etoday.co.kr/news/view/1969430,"올해 7월 기준 렌터카 100만 대를 넘어섰고, 무면허 렌터카 교통사고도 늘고 있다. 국토부에 따르면 무면허 사고 건수는 2017년 353건에서 2018년 366건, 지난해 375건으로 증가했다. 특히 미성년자 무면허 사고 건수는 2015년... ","Wed, 02 Dec 2020 14:48:00 +0900"
73,늘어나는 렌터카 무면허 사고...수능 이후 100일간 특별점검 실시,http://www.idsn.co.kr/news/articleView.html?idxno=37268,http://www.idsn.co.kr/news/articleView.html?idxno=37268,이에 따라 렌터카의 증가와 함께 무면허 렌터카 교통사고도 늘어나고 있다. 한국교통안전공단이 발표한 렌터카 교통사고 통계 분석에 따르면 최근 5년간 무면허 사고건수는 3321건으로 매년 8.2% 증가하고 있는 것으로... ,"Wed, 02 Dec 2020 13:46:00 +0900"
74,무면허 렌터카 사고 싹 자른다…수능 이후 100일간 특별점검,http://www.ajunews.com/view/20201202094010156,http://www.ajunews.com/view/20201202094010156,"무면허자에게 렌터카를 대여해 교통사고가 발생한 업체에 대한 관계기관 합동 특별점검도 실시한다. 렌터카 대여를 위한 명의 대여·알선을 금지·처벌하고, 업체의 운전자격 확인 책임을 더욱 강화하는 제도개선도... ","Wed, 02 Dec 2020 11:01:00 +0900"
75,"무면허 렌터카 사망사고, 처벌 청원…靑 과태료 10배 상향, 처벌 강화",https://view.asiae.co.kr/article/2020112415523899619,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=277&aid=0004797788,협력하여 무면허 렌터카 사고 근절을 위해 최선의 노력을 다할 것이라고 말했다. 경찰청은 사건 운전자에 대해 도로교통법상 무면허 운전 및 특가법상 도주치사죄를 적용해 구속 송치했다. 동승자는 도로교통법상... ,"Tue, 24 Nov 2020 16:00:00 +0900"
76,靑 무면허 렌터카 사고 근절 노력…처벌 강화 추진,https://www.news1.kr/articles/?4128754,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005009711,손명수 국토교통부 2차관은 이날 답변자로 나서 무면허 렌터카 운전으로 인해 갑작스럽게 가족 분을 떠나보내신 청원인과 유족 분들께 깊은 위로의 말씀을 드린다며 정부는 관계 부처와 협력하여 무면허 렌터카 사고... ,"Tue, 24 Nov 2020 16:23:00 +0900"
77,"靑, ‘무면허 렌터카 사망사고 처벌’ 국민청원에 “과태료 10배 상향”",http://www.ajunews.com/view/20201124161822976,http://www.ajunews.com/view/20201124161822976,협력하여 무면허 렌터카 사고 근절을 위해 최선의 노력을 다할 것”이라고 밝혔다. 해당 청원은 지난 10월 1일 전남 화순군에 있는 횡단보도에서 발생한 사고 관련 운전자와 동승자의 처벌을 요구했다. 10대 가해... ,"Tue, 24 Nov 2020 16:22:00 +0900"
